Diamond Princess Cruise Ship	696		7		456	233	15			"March 17, 2020, 15:15 GMT"
Malaysia	673	107	2	2	49	622	10	20.8		"March 17, 2020, 15:15 GMT"
Australia	452	51	5		27	420	1	17.7		"March 17, 2020, 15:15 GMT"
Portugal	448	117	1		3	444	18	43.9		"March 17, 2020, 15:15 GMT"
Canada	440		4		11	425	1	11.7		"March 17, 2020, 15:15 GMT"
Qatar	439				4	435		152.4		"March 17, 2020, 15:15 GMT"
Czechia	396	52			3	393	2	37		"March 17, 2020, 15:15 GMT"
Greece	352		4		10	338	5	33.8		"March 17, 2020, 15:15 GMT"
Israel	324	26			11	313	4	37.4		"March 17, 2020, 15:15 GMT"
Finland	322	44			10	312	2	58.1		"March 17, 2020, 15:15 GMT"
Brazil	301	67	1	1	2	298	18	1.4		"March 17, 2020, 15:15 GMT"
Slovenia	273	20	1			272	4	131.3		"March 17, 2020, 15:15 GMT"
Singapore	266	23			114	152	14	45.5		"March 17, 2020, 15:15 GMT"
Bahrain	237	9	1		81	155	3	139.3		"March 17, 2020, 15:15 GMT"
Pakistan	236	52	1		2	233		1.1		"March 17, 2020, 15:15 GMT"
Estonia	225	20			1	224		169.6		"March 17, 2020, 15:15 GMT"
Ireland	223		2		5	216	6	45.2		"March 17, 2020, 15:15 GMT"
Poland	221	44	5	1		216	3	5.8		"March 17, 2020, 15:15 GMT"
Iceland	220	21	1	1	5	214	1			"March 17, 2020, 15:15 GMT"
Chile	201	45				201	3	10.5		"March 17, 2020, 15:15 GMT"
Philippines	187	45	12		5	170	1	1.7		"March 17, 2020, 15:15 GMT"
Romania	184	16			16	168	5	9.6		"March 17, 2020, 15:15 GMT"
Thailand	177	30	1		41	135	1	2.5		"March 17, 2020, 15:15 GMT"
Indonesia	172	38	5		8	159		0.6		"March 17, 2020, 15:15 GMT"
Egypt	169	3	4		32	133		1.7		"March 17, 2020, 15:15 GMT"
Hong Kong	162	7	4		81	77	4	21.6		"March 17, 2020, 15:15 GMT"
Iraq	154	21	11	1	41	102		3.8		"March 17, 2020, 15:15 GMT"
Luxembourg	140	59	1			139	10			"March 17, 2020, 15:15 GMT"
India	137	8	3	1	14	120		0.1		"March 17, 2020, 15:15 GMT"
Saudi Arabia	133				6	127		3.8		"March 17, 2020, 15:15 GMT"
Kuwait	130	7			12	118	4	30.4		"March 17, 2020, 15:15 GMT"
Lebanon	120	11	3		4	113	3	17.6		"March 17, 2020, 15:15 GMT"
Peru	117	31			1	116	8	3.5		"March 17, 2020, 15:15 GMT"
Russia	114	21			8	106		0.8		"March 17, 2020, 15:15 GMT"
San Marino	102		9	2	4	89	11			"March 17, 2020, 15:15 GMT"
UAE	98				26	72	2	9.9		"March 17, 2020, 15:15 GMT"
Slovakia	84	12				84	2	15.4		"March 17, 2020, 15:15 GMT"
Mexico	82	29			4	78	1	0.6		"March 17, 2020, 15:15 GMT"
Taiwan	77	10	1		20	56		3.2		"March 17, 2020, 15:15 GMT"
Armenia	72	20			1	71	2	24.3		"March 17, 2020, 15:15 GMT"
Panama	69		1			68	7	16		"March 17, 2020, 15:15 GMT"
Argentina	68	3	2		3	63	1	1.5		"March 17, 2020, 15:15 GMT"
